iter	Logloss
0	0.657719006
1	0.6253089298
2	0.5977134636
3	0.5744227329
4	0.5529646914
5	0.5350659854
6	0.5190029261
7	0.5061467311
8	0.4943264494
9	0.4813758718
10	0.4696684205
11	0.460081224
12	0.4513318938
13	0.4433063654
14	0.4363310177
15	0.4297531875
16	0.4256653286
17	0.4220992205
18	0.417699994
19	0.4146829868
20	0.4118801731
21	0.4084764648
22	0.4053330664
23	0.4021717969
24	0.3999889826
25	0.3976012513
26	0.3954818811
27	0.3940559818
28	0.3925687872
29	0.3912576114
30	0.3902352238
31	0.3889037433
32	0.3872916849
33	0.3861403472
34	0.3848748109
35	0.3837234183
36	0.3830032401
37	0.3821813148
38	0.3815342073
39	0.3804633635
40	0.3797643318
41	0.3788281053
42	0.3782988637
43	0.3776689919
44	0.377279244
45	0.376701241
46	0.3761242706
47	0.3757159669
48	0.3752339382
49	0.3748158198
50	0.3744616484
51	0.3741103221
52	0.3738595384
53	0.3734783345
54	0.373109144
55	0.372724727
56	0.372494373
57	0.3721571779
58	0.3719002419
59	0.3716988748
60	0.3713966895
61	0.3710328814
62	0.3708124659
63	0.3705748597
64	0.3701257543
65	0.3698892812
66	0.3695949192
67	0.369356393
68	0.3690834828
69	0.3688901303
70	0.3685698067
71	0.3683680122
72	0.3681652717
73	0.3679475667
74	0.367809561
75	0.3676115378
76	0.3674139584
77	0.3672698435
78	0.3670938932
79	0.3667804181
80	0.3666304661
81	0.3664262157
82	0.3662498762
83	0.3661062247
84	0.3659221406
85	0.3657426617
86	0.3655460015
87	0.3654124968
88	0.3652245845
89	0.3649600566
90	0.3648522264
91	0.3646643492
92	0.3645465351
93	0.3644344872
94	0.3643353172
95	0.3641869131
96	0.3640854746
97	0.3639768616
98	0.3639172173
99	0.3637796074
100	0.3636451105
101	0.3635572204
102	0.3634092613
103	0.3632975164
104	0.3631535034
105	0.3630782917
106	0.3629827042
107	0.3627937627
108	0.362666384
109	0.3625574691
110	0.3623908669
111	0.362133104
112	0.3620290784
113	0.3618675593
114	0.3617730528
115	0.36170797
116	0.3616094106
117	0.3615016649
118	0.361429114
119	0.3611567666
120	0.3610876325
121	0.360906523
122	0.3608518722
123	0.3607296901
124	0.3606290822
125	0.3604805731
126	0.3603205874
127	0.3601899302
128	0.3601068477
129	0.3600310994
130	0.359876686
131	0.3598222603
132	0.3597169384
133	0.3596381105
134	0.3595489057
135	0.359441053
136	0.359366542
137	0.3592163609
138	0.3591686475
139	0.3590414321
140	0.3589612782
141	0.3588217471
142	0.3586778564
143	0.3585077106
144	0.3584174
145	0.3583505182
146	0.3582996441
147	0.3581872693
148	0.3581009985
149	0.3580154488
150	0.3579134178
151	0.3578330105
152	0.3577080684
153	0.3575714531
154	0.3574972874
155	0.3574216288
156	0.3573258321
157	0.3572266023
158	0.3571484729
159	0.3570223199
160	0.356955108
161	0.3568208926
162	0.3567576784
163	0.3566969972
164	0.3566079285
165	0.3565331922
166	0.3564552048
167	0.3563833232
168	0.3563238122
169	0.356154284
170	0.3561232823
171	0.3560313026
172	0.3558552082
173	0.3557607289
174	0.3557185936
175	0.3556425254
176	0.3554921551
177	0.3553819245
178	0.3552920163
179	0.3551863321
180	0.3550996593
181	0.3550103917
182	0.3546920095
183	0.3546373022
184	0.3545598808
185	0.3545273126
186	0.3541552524
187	0.3539213173
188	0.3538259249
189	0.3537565413
190	0.3536900534
191	0.3536188071
192	0.3534947197
193	0.3533830844
194	0.3533371004
195	0.3532639306
196	0.3531923065
197	0.3530992598
198	0.3530023313
199	0.3529132576
200	0.3528051481
201	0.3527255361
202	0.3526657454
203	0.3526099616
204	0.3525240868
205	0.3524317406
206	0.3523608938
207	0.3523008672
208	0.3522256846
209	0.3521436366
210	0.3520734093
211	0.3519877037
212	0.3518629209
213	0.3517470707
214	0.3516171339
215	0.3515282429
216	0.3514174679
217	0.3511357381
218	0.3510442711
219	0.3509522301
220	0.3508119458
221	0.3507194056
222	0.3506433342
223	0.3505145407
224	0.3504310699
225	0.3503732916
226	0.3502330682
227	0.3501654493
228	0.3500526856
229	0.3499880898
230	0.349919717
231	0.3498517716
232	0.3497527027
233	0.3495182199
234	0.3494293602
235	0.3493671987
236	0.3493089074
237	0.349236925
238	0.3491659555
239	0.3491205221
240	0.3489930601
241	0.3489260481
242	0.348834289
243	0.3487364437
244	0.3486268014
245	0.3485538802
246	0.3482589442
247	0.348203485
248	0.3481301384
249	0.3480172196
250	0.3479254931
251	0.3478596665
252	0.3477521922
253	0.347680412
254	0.347597266
255	0.3475304652
256	0.3474722354
257	0.3473887615
258	0.3473354218
259	0.3472472006
260	0.3471818837
261	0.347142483
262	0.3470385451
263	0.3469774314
264	0.3469424516
265	0.3468892219
266	0.3468069797
267	0.3467288405
268	0.3466176983
269	0.3465063376
270	0.3464505672
271	0.3463134687
272	0.3461684109
273	0.3460878352
274	0.3459671943
275	0.3458707635
276	0.3458013811
277	0.3456900715
278	0.345600607
279	0.34552725
280	0.3454940241
281	0.3454054553
282	0.3453284337
283	0.3452561432
284	0.3451406904
285	0.3450743689
286	0.3449894968
287	0.3449305386
288	0.3448461606
289	0.3447679715
290	0.3446708538
291	0.3445702717
292	0.3445059457
293	0.344436399
294	0.3443443091
295	0.3442629514
296	0.3441759631
297	0.3440742497
298	0.3439908539
299	0.3439008467
300	0.3438286072
301	0.3437653017
302	0.3437031681
303	0.3436220573
304	0.3435992981
305	0.343507675
306	0.3433561857
307	0.3432469116
308	0.3431736185
309	0.3430942643
310	0.3430079544
311	0.3429425955
312	0.3428930082
313	0.3428352063
314	0.3427261991
315	0.3426831887
316	0.3425662186
317	0.3425212029
318	0.3424358405
319	0.3423880769
320	0.3423519169
321	0.3423072411
322	0.3422541675
323	0.3421660505
324	0.3421116948
325	0.342026703
326	0.3419555123
327	0.3418715251
328	0.3418116989
329	0.3417508371
330	0.3416588385
331	0.3416226076
332	0.3415534706
333	0.3414929216
334	0.34141169
335	0.3413572941
336	0.341290031
337	0.3411782713
338	0.3411081641
339	0.3410304143
340	0.3409515512
341	0.3408486148
342	0.3407783704
343	0.3407375268
344	0.3406861891
345	0.3406012095
346	0.3405454438
347	0.3404709526
348	0.3404393448
349	0.3403926739
350	0.3403134714
351	0.3402590281
352	0.3402181739
353	0.3401700742
354	0.3401072263
355	0.3400509283
356	0.3399365961
357	0.339871477
358	0.3397791251
359	0.3397135411
360	0.3396383187
361	0.3395526605
362	0.3394929775
363	0.3394160016
364	0.3393595726
365	0.3392929501
366	0.3392319431
367	0.3391952766
368	0.3391099712
369	0.3390369245
370	0.3389823174
371	0.3389437163
372	0.3388764585
373	0.3388276563
374	0.3387570474
375	0.3387160038
376	0.3386298653
377	0.3385792839
378	0.3385093703
379	0.3384571522
380	0.3384202039
381	0.3383486303
382	0.3382830965
383	0.3382246436
384	0.3381934233
385	0.3381903457
386	0.3381208407
387	0.3380946586
388	0.3380353933
389	0.337963962
390	0.3378672566
391	0.3377958393
392	0.3377308695
393	0.3376614769
394	0.337585821
395	0.3375249246
396	0.3374763375
397	0.3374216361
398	0.3373651244
399	0.3373314606
400	0.3372604986
401	0.3372297251
402	0.3371765654
403	0.3371344453
404	0.3370296322
405	0.3370013955
406	0.336925463
407	0.3369125192
408	0.336875678
409	0.3368269183
410	0.3367818354
411	0.3367216011
412	0.3366406041
413	0.3365789615
414	0.3365240747
415	0.3364733141
416	0.3363922656
417	0.336317259
418	0.3361626998
419	0.3361333776
420	0.3360752558
421	0.3359807834
422	0.3359349516
423	0.3358739747
424	0.335822476
425	0.3357826228
426	0.335737469
427	0.3356831066
428	0.3356119089
429	0.3355254946
430	0.335477561
431	0.3354343195
432	0.335331924
433	0.3352789697
434	0.335203772
435	0.3351511819
436	0.335070328
437	0.3349812528
438	0.3349211415
439	0.3348751135
440	0.3347809263
441	0.3347174359
442	0.3346463218
443	0.3346057674
444	0.3345366134
445	0.334510177
446	0.3344537694
447	0.3343916556
448	0.3343112901
449	0.3342766353
450	0.3342629045
451	0.3342103494
452	0.3341780783
453	0.3341158693
454	0.3340840764
455	0.3340176435
456	0.3339627457
457	0.3339161293
458	0.3338374773
459	0.3337960483
460	0.3337291897
461	0.3336850555
462	0.3336474955
463	0.3335886079
464	0.3335167816
465	0.3334453647
466	0.3333825483
467	0.333313183
468	0.3332394101
469	0.3331640682
470	0.3330972345
471	0.3330611131
472	0.3330093302
473	0.3329501692
474	0.3329389393
475	0.3328650495
476	0.332808079
477	0.3327368113
478	0.3326996108
479	0.3326460878
480	0.3325798646
481	0.3325144922
482	0.3324640071
483	0.3323856505
484	0.332376168
485	0.3323096552
486	0.3322389883
487	0.3322189961
488	0.3321462475
489	0.332097112
490	0.3319686417
491	0.3319235746
492	0.3319074586
493	0.3318636595
494	0.3318112866
495	0.331728588
496	0.3316490116
497	0.3315628838
498	0.3314942492
499	0.3314508327
500	0.3313940838
501	0.3313287398
502	0.3312637509
503	0.3312312822
504	0.331185457
505	0.3311506091
506	0.331098876
507	0.3310313732
508	0.3309662306
509	0.330913627
510	0.3308651355
511	0.330806061
512	0.330749875
513	0.3306819009
514	0.3306390256
515	0.3305776513
516	0.3305137869
517	0.3304845131
518	0.3304305154
519	0.3303499873
520	0.3302895925
521	0.330237743
522	0.3301780131
523	0.3300905823
524	0.3300417272
525	0.3299640227
526	0.3298942463
527	0.3298339809
528	0.3297722371
529	0.3297372019
530	0.3297003017
531	0.3296433356
532	0.3295818962
533	0.329497107
534	0.3294263676
535	0.3293088338
536	0.3292450903
537	0.3291946439
538	0.3291224641
539	0.3290957421
540	0.3290484453
541	0.3289960802
542	0.3289352348
543	0.3289049075
544	0.3288608994
545	0.3288311944
546	0.3287674141
547	0.3286998029
548	0.3286709494
549	0.328633584
550	0.3285690998
551	0.3285115331
552	0.3284546415
553	0.328402108
554	0.3283498574
555	0.3282529069
556	0.3281780024
557	0.3280840246
558	0.3279364649
559	0.3278595829
560	0.3277939205
561	0.3277363032
562	0.3276901367
563	0.3275921025
564	0.3275157477
565	0.3274878443
566	0.3274108311
567	0.3273634847
568	0.3273224403
569	0.3272385232
570	0.3271645786
571	0.3271047313
572	0.3270783971
573	0.3270421013
574	0.326983806
575	0.3269272031
