iter	Passed	Remaining
0	10	10075
1	19	9605
2	30	9990
3	40	9984
4	50	10033
5	58	9624
6	68	9662
7	77	9644
8	87	9675
9	97	9655
10	107	9668
11	117	9707
12	126	9636
13	136	9638
14	148	9720
15	158	9745
16	169	9788
17	176	9646
18	186	9647
19	197	9688
20	207	9669
21	218	9717
22	228	9703
23	238	9698
24	250	9757
25	260	9764
26	271	9776
27	281	9789
28	292	9785
29	302	9791
30	313	9813
31	324	9810
32	334	9810
33	345	9815
34	355	9815
35	367	9848
36	379	9866
37	390	9873
38	400	9866
39	411	9867
40	421	9856
41	432	9858
42	441	9832
43	451	9819
44	462	9821
45	472	9808
46	483	9800
47	493	9796
48	504	9793
49	514	9781
50	525	9774
51	535	9753
52	544	9729
53	554	9711
54	564	9696
55	574	9676
56	583	9651
57	593	9635
58	602	9617
59	613	9604
60	623	9593
61	633	9586
62	643	9567
63	652	9544
64	662	9531
65	672	9513
66	683	9512
67	693	9500
68	702	9482
69	712	9465
70	722	9450
71	731	9431
72	741	9420
73	751	9406
74	760	9383
75	770	9372
76	780	9359
77	790	9342
78	800	9329
79	809	9310
80	819	9298
81	829	9282
82	838	9268
83	848	9253
84	858	9236
85	867	9224
86	876	9200
87	886	9189
88	896	9180
89	906	9166
90	916	9154
91	925	9138
92	935	9124
93	945	9114
94	955	9102
95	964	9085
96	974	9071
97	984	9057
98	993	9042
99	1004	9036
100	1014	9027
101	1024	9019
102	1034	9012
103	1044	8995
104	1053	8982
105	1062	8962
106	1072	8954
107	1082	8942
108	1092	8928
109	1102	8917
110	1111	8903
111	1121	8889
112	1131	8877
113	1140	8867
114	1151	8861
115	1160	8845
116	1170	8835
117	1180	8820
118	1190	8811
119	1199	8798
120	1209	8786
121	1219	8777
122	1229	8767
123	1239	8755
124	1249	8744
125	1259	8733
126	1268	8720
127	1278	8708
128	1288	8697
129	1297	8685
130	1308	8679
131	1318	8668
132	1327	8655
133	1337	8645
134	1347	8635
135	1357	8623
136	1367	8613
137	1376	8597
138	1386	8587
139	1396	8580
140	1406	8567
141	1416	8561
142	1427	8552
143	1436	8539
144	1446	8527
145	1455	8514
146	1465	8501
147	1474	8489
148	1484	8475
149	1494	8467
150	1504	8458
151	1514	8448
152	1524	8437
153	1533	8425
154	1544	8420
155	1554	8409
156	1563	8393
157	1573	8382
158	1582	8372
159	1591	8355
160	1601	8343
161	1610	8331
162	1620	8320
163	1629	8307
164	1639	8297
165	1650	8290
166	1660	8281
167	1670	8272
168	1679	8260
169	1689	8248
170	1699	8237
171	1709	8228
172	1719	8218
173	1729	8209
174	1738	8196
175	1748	8186
176	1758	8177
177	1767	8164
178	1778	8155
179	1787	8144
180	1797	8135
181	1807	8125
182	1818	8117
183	1828	8109
184	1838	8097
185	1847	8086
186	1858	8079
187	1867	8068
188	1877	8057
189	1887	8046
190	1896	8034
191	1906	8022
192	1916	8013
193	1926	8005
194	1936	7995
195	1946	7984
196	1956	7973
197	1966	7964
198	1975	7951
199	1984	7939
200	1994	7928
201	2004	7919
202	2014	7909
203	2023	7897
204	2033	7887
205	2043	7875
206	2052	7864
207	2062	7854
208	2072	7843
209	2082	7833
210	2092	7824
211	2102	7814
212	2111	7801
213	2121	7790
214	2130	7778
215	2140	7768
216	2150	7759
217	2160	7750
218	2171	7742
219	2181	7733
220	2190	7722
221	2201	7714
222	2210	7703
223	2220	7693
224	2230	7682
225	2240	7671
226	2251	7665
227	2261	7657
228	2272	7650
229	2282	7641
230	2292	7631
231	2301	7619
232	2310	7607
233	2320	7595
234	2329	7584
235	2339	7574
